comments,cleaned_comments,sentiment_scores,compound_score,sentiment_category
Excellent coverage,excel coverag,"{'neg': 0.0, 'neu': 0.25, 'pos': 0.75, 'compound': 0.4588}",0.4588,positive
"Googles call screening and voice to text in real time on voicemail is so good. The little UI elements and software quirks are what keep me going back to pixel after I originally got the 6 (which was awful btw, many apps were bugged and I had a lot of frustrations) but the little things made me try the 7 and I've loved it. It's gorgeous, it's sturdy, and it does so many little things better than it's contemporaries that I'll probably also check the 8 out. I just wish I could make use of the camera a better without needing to be a shutter nerd because my wife's s22 ultra has a better camera out of the box without tweaking than I feel my pixel 7 does",call ing voic text real time voicemail good littl ui element softwar quirk keep go back origin got aw btw mani app bug lot frustrat littl thing made tri ive love gorgeous sturdi mani littl thing better contemporari ill probi also check wish could make camera better without need shutter nerd beca wife ultra better camera box without tweak feel,"{'neg': 0.036, 'neu': 0.652, 'pos': 0.312, 'compound': 0.9665}",0.9665,positive
Went from fold 3 to fold 4. Had my eyes on the 5 but I'm glad google threw their hat in the ring to offer some viable competition to the foldable king. Can't wait for the full review.,went eye im glad threw hat ring offer vie competit e king cant wait full,"{'neg': 0.0, 'neu': 0.812, 'pos': 0.188, 'compound': 0.4588}",0.4588,positive
"Ah yes, I love thick bezels in 2023. Despite that, I'm glad Samsung is finally getting some real competitions in the foldable space. This will push them and everyone else to make better products",ah yes love thick bezel despit im glad samsung final get real competit e space push everyon els make better product,"{'neg': 0.0, 'neu': 0.556, 'pos': 0.444, 'compound': 0.9153}",0.9153,positive
"LOVE how you banged out this video while Google IO was still going on. I would say it definitely looks impressive. As a person who has a Fold 3 and only rocks a Google Pixel 6 Pro because I LOVE the Google UI, Haptic feedback as well as the camera, I may have to scoop this up. I also LIKE the shorter/wider form factor compared to the longer/narrower one of the Fold series. Honestly it's either this or the OPPO Find N2(which I can get for cheaper here). Thanks again for this LOVELY video and we all look forward to the real review.",love bang io still go would say definit look impress person rock pro beca love ui haptic feedback well camera may scoop also like shorterwid form factor compar longernarrow one seri honest either oppo find nwhich get cheaper thank love look forward real,"{'neg': 0.0, 'neu': 0.553, 'pos': 0.447, 'compound': 0.9788}",0.9788,positive
I think it'll be good for the foldable segment now that google will tailor software updates for the format. Not enough to tempt me from my z fold 4 but im definitely curious about using a phone with that aspect ratio of the outer display. I regularly feel constricted by the narrow outer display and thats it being a good upgrade from my old fold 2. Hopefully they go wider again with the 5.,think itll good e segment tailor softwar updat format enough tempt z im definit curious use aspect ratio outer regular feel constrict narrow outer that good old hope go wider,"{'neg': 0.0, 'neu': 0.686, 'pos': 0.314, 'compound': 0.875}",0.875,positive
Exiting times ahead for the foldable side of things. Great storytelling as always. I still seem to be tilting on the side of Galaxy Fold 5 when it’s out.,exit time ahead e side thing great storytel alway still seem tilt side galaxi,"{'neg': 0.0, 'neu': 0.745, 'pos': 0.255, 'compound': 0.6249}",0.6249,positive
"Really great news for the foldable fans. Not only will some competition help push things forward, but the added software support from Google throwing their hat in the ring will be huge.

Also, I like the bezels. I'd rather have thicker bezels again to hold cameras. I've never been a fan of the hole punch approach. It's usually something I can get used to, but I still find it's occasionally in the way.",realli great news e fan competit help push thing forward ad softwar support throw hat ring hugealso like bezel id rather thicker bezel hold camera ive never fan hole punch approach usual someth get still find occasion way,"{'neg': 0.0, 'neu': 0.651, 'pos': 0.349, 'compound': 0.9393}",0.9393,positive
Really interesting to see how the screen stands up to 12 months of use and how the warranty will support wear and tear of the hinges and on/off button and screen quality. Very interesting mix of subjects. A comparison between Galaxy and Google is exciting.,realli interest see stand month warranti support wear tear hing onoff button qualiti interest mix subject comparison galaxi excit,"{'neg': 0.0, 'neu': 0.648, 'pos': 0.352, 'compound': 0.8271}",0.8271,positive
"Thanks so much for bringing us with you to check out the Pixel Fold! I'm looking forward to the software optimizations this device will bring to the entire Android foldable space (hopefully). The Fold & Pixel Tablet are the two things I'm most interested in at this year's I/O; hopefully you get a look at the tablet as well. Your reviews are very straightforward, with clearly stated pros & cons of the devices that you review, and I very much appreciate that aspect of your content.",thank much bring us check im look forward softwar optim devic bring entir android e space hope tet two thing im interest io hope get look tet well straightforward clear state pros con devic much appreci aspect content,"{'neg': 0.0, 'neu': 0.66, 'pos': 0.34, 'compound': 0.9325}",0.9325,positive
I'm more interested to see how this causes waves in the foldable space now that google has it's own foldable.  Some of the software enhancements won't make it to my Fold 4 (or potentially Fold 5 depending on carrier trade-in/subsidies) but you're right when you say that it means foldables are here and not just a gimmick.,im interest see cas wave e space e softwar enhanc wont make potenti depend carrier tradeinsubsidi your right say mean es gimmick,"{'neg': 0.0, 'neu': 0.864, 'pos': 0.136, 'compound': 0.4588}",0.4588,positive
Sir I had a fold 1 and currently a fold 3. Thank you so much for your constant fold coverage. You are a big reason I got into foldables,sir current thank much constant coverag big reason got es,"{'neg': 0.0, 'neu': 0.783, 'pos': 0.217, 'compound': 0.3612}",0.3612,neutral
This is the first foldable that I've really loved the look of. I really like my Pixel 6 and having a foldable Pixel that's still just as modding friendly would be a dream. But at that price I'd need to wait like 3 generations at least hahaha,first e ive realli love look realli like e that still mod friend would dream price id need wait like generat least hahaha,"{'neg': 0.09, 'neu': 0.464, 'pos': 0.445, 'compound': 0.8879}",0.8879,positive
